team,season,playoff
ANA,2008,1
ARI,2008,0
ATL,2008,0
BOS,2008,1
BUF,2008,0
CAR,2008,1
CBJ,2008,1
CGY,2008,1
CHI,2008,1
COL,2008,0
DAL,2008,0
DET,2008,1
EDM,2008,0
FLA,2008,0
L.A,2008,0
MIN,2008,0
MTL,2008,1
N.J,2008,1
NSH,2008,0
NYI,2008,0
NYR,2008,1
OTT,2008,0
PHI,2008,1
PIT,2008,1
S.J,2008,1
STL,2008,1
T.B,2008,0
TOR,2008,0
VAN,2008,1
WSH,2008,1
ANA,2009,0
ARI,2009,1
ATL,2009,0
BOS,2009,1
BUF,2009,1
CAR,2009,0
CBJ,2009,0
CGY,2009,0
CHI,2009,1
COL,2009,1
DAL,2009,0
DET,2009,1
EDM,2009,0
FLA,2009,0
L.A,2009,1
MIN,2009,0
MTL,2009,1
N.J,2009,1
NSH,2009,1
NYI,2009,0
NYR,2009,0
OTT,2009,1
PHI,2009,1
PIT,2009,1
S.J,2009,1
STL,2009,0
T.B,2009,0
TOR,2009,0
VAN,2009,1
WSH,2009,1
ANA,2010,1
ARI,2010,1
ATL,2010,0
BOS,2010,1
BUF,2010,1
CAR,2010,0
CBJ,2010,0
CGY,2010,0
CHI,2010,1
COL,2010,0
DAL,2010,0
DET,2010,1
EDM,2010,0
FLA,2010,0
L.A,2010,1
MIN,2010,0
MTL,2010,1
N.J,2010,0
NSH,2010,1
NYI,2010,0
NYR,2010,1
OTT,2010,0
PHI,2010,1
PIT,2010,1
S.J,2010,1
STL,2010,0
T.B,2010,1
TOR,2010,0
VAN,2010,1
WSH,2010,1
ANA,2011,0
ARI,2011,1
BOS,2011,1
BUF,2011,0
CAR,2011,0
CBJ,2011,0
CGY,2011,0
CHI,2011,1
COL,2011,0
DAL,2011,0
DET,2011,1
EDM,2011,0
FLA,2011,1
L.A,2011,1
MIN,2011,0
MTL,2011,0
N.J,2011,1
NSH,2011,1
NYI,2011,0
NYR,2011,1
OTT,2011,1
PHI,2011,1
PIT,2011,1
S.J,2011,1
STL,2011,1
T.B,2011,0
TOR,2011,0
VAN,2011,1
WPG,2011,0
WSH,2011,1
ANA,2012,1
ARI,2012,0
BOS,2012,1
BUF,2012,0
CAR,2012,0
CBJ,2012,0
CGY,2012,0
CHI,2012,1
COL,2012,0
DAL,2012,0
DET,2012,1
EDM,2012,0
FLA,2012,0
L.A,2012,1
MIN,2012,1
MTL,2012,1
N.J,2012,0
NSH,2012,0
NYI,2012,1
NYR,2012,1
OTT,2012,1
PHI,2012,0
PIT,2012,1
S.J,2012,1
STL,2012,1
T.B,2012,0
TOR,2012,1
VAN,2012,1
WPG,2012,0
WSH,2012,1
ANA,2013,1
ARI,2013,0
BOS,2013,1
BUF,2013,0
CAR,2013,0
CBJ,2013,1
CGY,2013,0
CHI,2013,1
COL,2013,1
DAL,2013,1
DET,2013,1
EDM,2013,0
FLA,2013,0
L.A,2013,1
MIN,2013,1
MTL,2013,1
N.J,2013,0
NSH,2013,0
NYI,2013,0
NYR,2013,1
OTT,2013,0
PHI,2013,1
PIT,2013,1
S.J,2013,1
STL,2013,1
T.B,2013,1
TOR,2013,0
VAN,2013,0
WPG,2013,0
WSH,2013,0
ANA,2014,1
ARI,2014,0
BOS,2014,0
BUF,2014,0
CAR,2014,0
CBJ,2014,0
CGY,2014,1
CHI,2014,1
COL,2014,0
DAL,2014,0
DET,2014,1
EDM,2014,0
FLA,2014,0
L.A,2014,0
MIN,2014,1
MTL,2014,1
N.J,2014,0
NSH,2014,1
NYI,2014,1
NYR,2014,1
OTT,2014,1
PHI,2014,0
PIT,2014,1
S.J,2014,0
STL,2014,1
T.B,2014,1
TOR,2014,0
VAN,2014,1
WPG,2014,1
WSH,2014,1
ANA,2015,1
ARI,2015,0
BOS,2015,0
BUF,2015,0
CAR,2015,0
CBJ,2015,0
CGY,2015,0
CHI,2015,1
COL,2015,0
DAL,2015,1
DET,2015,1
EDM,2015,0
FLA,2015,1
L.A,2015,1
MIN,2015,1
MTL,2015,0
N.J,2015,0
NSH,2015,1
NYI,2015,1
NYR,2015,1
OTT,2015,0
PHI,2015,1
PIT,2015,1
S.J,2015,1
STL,2015,1
T.B,2015,1
TOR,2015,0
VAN,2015,0
WPG,2015,0
WSH,2015,1
ANA,2016,1
ARI,2016,0
BOS,2016,1
BUF,2016,0
CAR,2016,0
CBJ,2016,1
CGY,2016,1
CHI,2016,1
COL,2016,0
DAL,2016,0
DET,2016,0
EDM,2016,1
FLA,2016,0
L.A,2016,0
MIN,2016,1
MTL,2016,1
N.J,2016,0
NSH,2016,1
NYI,2016,0
NYR,2016,1
OTT,2016,1
PHI,2016,0
PIT,2016,1
S.J,2016,1
STL,2016,1
T.B,2016,0
TOR,2016,1
VAN,2016,0
WPG,2016,0
WSH,2016,1
ANA,2017,1
ARI,2017,0
BOS,2017,1
BUF,2017,0
CAR,2017,0
CBJ,2017,1
CGY,2017,0
CHI,2017,0
COL,2017,1
DAL,2017,0
DET,2017,0
EDM,2017,0
FLA,2017,0
L.A,2017,1
MIN,2017,1
MTL,2017,0
N.J,2017,1
NSH,2017,1
NYI,2017,0
NYR,2017,0
OTT,2017,0
PHI,2017,1
PIT,2017,1
S.J,2017,1
STL,2017,0
T.B,2017,1
TOR,2017,1
VAN,2017,0
VGK,2017,1
WPG,2017,1
WSH,2017,1
ANA,2018,0
ARI,2018,0
BOS,2018,1
BUF,2018,0
CAR,2018,1
CBJ,2018,1
CGY,2018,1
CHI,2018,0
COL,2018,1
DAL,2018,1
DET,2018,0
EDM,2018,0
FLA,2018,0
L.A,2018,0
MIN,2018,0
MTL,2018,0
N.J,2018,0
NSH,2018,1
NYI,2018,1
NYR,2018,0
OTT,2018,0
PHI,2018,0
PIT,2018,1
S.J,2018,1
STL,2018,1
T.B,2018,1
TOR,2018,1
VAN,2018,0
VGK,2018,1
WPG,2018,1
WSH,2018,1
ANA,2019,
ARI,2019,
BOS,2019,
BUF,2019,
CAR,2019,
CBJ,2019,
CGY,2019,
CHI,2019,
COL,2019,
DAL,2019,
DET,2019,
EDM,2019,
FLA,2019,
L.A,2019,
MIN,2019,
MTL,2019,
N.J,2019,
NSH,2019,
NYI,2019,
NYR,2019,
OTT,2019,
PHI,2019,
PIT,2019,
S.J,2019,
STL,2019,
T.B,2019,
TOR,2019,
VAN,2019,
VGK,2019,
WPG,2019,
WSH,2019,
ANA,2020,
ARI,2020,
BOS,2020,
BUF,2020,
CAR,2020,
CBJ,2020,
CGY,2020,
CHI,2020,
COL,2020,
DAL,2020,
DET,2020,
EDM,2020,
FLA,2020,
L.A,2020,
MIN,2020,
MTL,2020,
N.J,2020,
NSH,2020,
NYI,2020,
NYR,2020,
OTT,2020,
PHI,2020,
PIT,2020,
S.J,2020,
STL,2020,
T.B,2020,
TOR,2020,
VAN,2020,
VGK,2020,
WPG,2020,
WSH,2020,
ANA,2021,0
ARI,2021,0
BOS,2021,1
BUF,2021,0
CAR,2021,1
CBJ,2021,0
CGY,2021,1
CHI,2021,0
COL,2021,1
DAL,2021,1
DET,2021,0
EDM,2021,1
FLA,2021,1
LAK,2021,1
MIN,2021,1
MTL,2021,0
NJD,2021,0
NSH,2021,1
NYI,2021,0
NYR,2021,1
OTT,2021,0
PHI,2021,0
PIT,2021,1
SEA,2021,0
SJS,2021,0
STL,2021,1
TBL,2021,1
TOR,2021,1
VAN,2021,0
VGK,2021,0
WPG,2021,0
WSH,2021,1
ANA,2022,0
ARI,2022,0
BOS,2022,1
BUF,2022,0
CAR,2022,1
CBJ,2022,0
CGY,2022,0
CHI,2022,0
COL,2022,1
DAL,2022,1
DET,2022,0
EDM,2022,1
FLA,2022,1
LAK,2022,1
MIN,2022,1
MTL,2022,0
NJD,2022,1
NSH,2022,0
NYI,2022,1
NYR,2022,1
OTT,2022,0
PHI,2022,0
PIT,2022,0
SEA,2022,1
SJS,2022,0
STL,2022,0
TBL,2022,1
TOR,2022,1
VAN,2022,0
VGK,2022,1
WPG,2022,1
WSH,2022,0
ANA,2023,0
ARI,2023,0
BOS,2023,1
BUF,2023,0
CAR,2023,1
CBJ,2023,0
CGY,2023,0
CHI,2023,0
COL,2023,1
DAL,2023,1
DET,2023,0
EDM,2023,1
FLA,2023,1
LAK,2023,1
MIN,2023,0
MTL,2023,0
NJD,2023,0
NSH,2023,1
NYI,2023,1
NYR,2023,1
OTT,2023,0
PHI,2023,0
PIT,2023,0
SEA,2023,0
SJS,2023,0
STL,2023,0
TBL,2023,1
TOR,2023,1
VAN,2023,1
VGK,2023,1
WPG,2023,1
WSH,2023,1
ANA,2024,0
BOS,2024,0
BUF,2024,0
CAR,2024,1
CBJ,2024,0
CGY,2024,0
CHI,2024,0
COL,2024,1
DAL,2024,1
DET,2024,0
EDM,2024,1
FLA,2024,1
LAK,2024,1
MIN,2024,1
MTL,2024,1
NJD,2024,1
NSH,2024,0
NYI,2024,0
NYR,2024,0
OTT,2024,1
PHI,2024,0
PIT,2024,0
SEA,2024,0
SJS,2024,0
STL,2024,1
TBL,2024,1
TOR,2024,1
UTA,2024,0
VAN,2024,0
VGK,2024,1
WPG,2024,1
WSH,2024,1
